r_start,particle_concentration,particle_diameter,reynolds_number,target
-0.52556072,0.05,6,4,-0.87511054
-0.049562,0.05,6,4,-0.94000371
0.71612884,0.05,6,4,0.94001114
-0.875995578,0.05,6,4,-0.94001647
-0.6347145,0.05,6,4,-0.7419484
-0.72868312,0.05,6,4,-0.842165394
0.14935722,0.05,6,4,-0.63426666
-0.0007454,0.05,6,4,-0.835523568
-0.44989006,0.05,6,4,-0.859281922
-0.32843048,0.05,6,4,-0.940003938
-0.21861808,0.05,6,4,-0.94000657
0.26273346,0.05,6,4,0.9400058
-0.7294814,0.05,6,4,-0.939785518
0.30107514,0.05,6,4,0.94006638
0.60610824,0.05,6,4,0.94005828
-0.53858058,0.05,6,4,-0.882962522
-0.34826394,0.05,6,4,-0.81999052
0.2864859,0.05,6,4,0.94002456
-0.67152276,0.05,6,4,-0.81101894
-0.40022172,0.05,6,4,-0.74429932
-0.03902168,0.05,6,4,-0.64157544
-0.1164775,0.05,6,4,-0.940005866
0.58189652,0.05,6,4,0.71558518
0.17846496,0.05,6,4,0.94001266
0.50135346,0.05,6,4,0.8010048
-0.19631584,0.05,6,4,-0.80590966
-0.16430634,0.05,6,4,-0.76165948
-0.574831,0.05,6,4,-0.940003458
0.00179978,0.1,6,4,-0.74185348
0.198508,0.1,6,4,0.93730712
-0.11212304,0.1,6,4,-0.59961528
0.61823074,0.1,6,4,0.60334382
-0.69304992,0.1,6,4,-0.836191636
-0.25620788,0.1,6,4,-0.94003787
0.86052154,0.1,6,4,0.94000106
-0.78184292,0.1,6,4,-0.940080862
0.22387002,0.1,6,4,0.19254166
0.7641388,0.1,6,4,0.78708694
-0.1138932,0.1,6,4,-0.63609452
-0.24856834,0.1,6,4,-0.836206798
0.14468414,0.1,6,4,0.61352738
0.12427764,0.1,6,4,0.427762
0.4137912,0.1,6,4,0.80390336
0.77124726,0.1,6,4,0.83524918
0.26167388,0.1,6,4,0.94001464
0.21276298,0.1,6,4,0.75302124
0.66531448,0.1,6,4,0.9400055
0.8296167,0.1,6,4,0.81026948
0.06627182,0.1,6,4,0.91953476
-0.47677292,0.1,6,4,-0.40287976
-0.68050286,0.1,6,4,-0.76113196
0.29832702,0.1,6,4,0.83614518
-0.36981324,0.1,6,4,-0.940097932
0.03414474,0.1,6,4,-0.81119354
-0.8133559,0.1,6,4,-0.940046664
-0.49526482,0.1,6,4,-0.836164532
0.28808258,0.1,6,4,0.94001572
-0.82915699,0.1,6,4,-0.50361618
-0.70933566,0.1,6,4,-0.80834438
0.80243622,0.1,6,4,0.94000672
0.10922364,0.1,6,4,0.70255662
0.17214608,0.1,6,4,-0.47193116
-0.64048866,0.1,6,4,-0.940062366
-0.07774414,0.1,6,4,-0.67919388
-0.3800745,0.1,6,4,-0.71609952
-0.43186756,0.1,6,4,-0.836156998
